Date,Open,High,Low,Close,Adj Close,Volume,Name
2/1/2018,654.5999756,656,644.4000244,653.4000244,498.4242859,3135876,BDEV.L
3/1/2018,656.2000122,656.2000122,651.4000244,653,498.1191711,3210218,BDEV.L
4/1/2018,658.2000122,658.2000122,650.2000122,652.2000122,497.5089111,3558240,BDEV.L
5/1/2018,652.2000122,661.5999756,651.4000244,657.7999878,501.7807312,2918939,BDEV.L
8/1/2018,658.5999756,658.5999756,645.7999878,647.4000244,493.8474426,2971947,BDEV.L
9/1/2018,649.4000244,656.5999756,643,643.4000244,490.7962036,3228656,BDEV.L
10/1/2018,642,642,627.5999756,634.2000122,483.7782593,6567457,BDEV.L
11/1/2018,626,628.7999878,611.2000122,617,470.6577148,8340693,BDEV.L
12/1/2018,618.5999756,627.4000244,618.4000244,621.2000122,473.8616028,4856410,BDEV.L
15/1/2018,622.5999756,625,616,616.4000244,470.2001343,2640701,BDEV.L
16/1/2018,618.5999756,621,613.4000244,618.4000244,471.7257385,4083176,BDEV.L
17/1/2018,618,618.4000244,607.7999878,609.7999878,465.1654663,9912565,BDEV.L
18/1/2018,612,614.5999756,606.7999878,613,467.6065369,6503533,BDEV.L
19/1/2018,611.5999756,621.7999878,611.5999756,615.2000122,469.284729,4984225,BDEV.L
22/1/2018,615,616.2000122,600.7999878,603.4000244,460.2835693,5875018,BDEV.L
23/1/2018,605.2000122,609.7999878,602.7999878,605.7999878,462.1142578,3005021,BDEV.L
24/1/2018,605.2000122,614.5999756,602.7999878,609.7999878,465.1654663,4722282,BDEV.L
25/1/2018,606.5999756,615,604.5999756,613,467.6065369,6359691,BDEV.L
26/1/2018,615.7999878,624.5999756,611.7999878,618.2000122,471.5731506,4822914,BDEV.L
29/1/2018,618.4000244,623.7999878,616,616.4000244,470.2001343,3914887,BDEV.L
30/1/2018,612,613.7999878,599.7999878,600.7999878,458.3001709,4610037,BDEV.L
31/1/2018,599,601.4000244,582.5999756,585.2000122,446.4002686,7770577,BDEV.L
1/2/2018,588.2000122,591.5999756,583.5999756,584.5999756,445.9425964,8177126,BDEV.L
2/2/2018,583.2000122,584.2000122,574.2000122,574.5999756,438.31427,8210127,BDEV.L
5/2/2018,568.4000244,570,561.5999756,567,432.5169678,5850543,BDEV.L
6/2/2018,551.2000122,567.7999878,545.5999756,563,429.4657593,10571952,BDEV.L
7/2/2018,572.5999756,576.5999756,564.5999756,572.2000122,436.4836121,9361354,BDEV.L
8/2/2018,569.2000122,573.4000244,548,548.2000122,418.1760254,7048486,BDEV.L
9/2/2018,545.7999878,557.4000244,544.7999878,554,422.6003418,5479533,BDEV.L
12/2/2018,560,560.4000244,549,552.5999756,421.5323792,3073899,BDEV.L
13/2/2018,552.2000122,557.5999756,550.4000244,551,420.3119202,3418187,BDEV.L
14/2/2018,555,558.2000122,540.2000122,547.7999878,417.8708801,4191504,BDEV.L
15/2/2018,551.7999878,556.7999878,546.5999756,548.7999878,418.633667,2590975,BDEV.L
16/2/2018,552.4000244,554.7999878,546.5999756,551.7999878,420.9221802,3477503,BDEV.L
19/2/2018,553.7999878,561.4000244,546.5999756,556,424.1260071,4274108,BDEV.L
20/2/2018,558.7999878,566.2000122,557,562.2000122,428.8554993,5157282,BDEV.L
21/2/2018,576,577,554.5999756,567.4000244,432.822052,9746187,BDEV.L
