Date,Open,High,Low,Close,Adj Close,Volume
2/1/2018,7687.799805,7691.299805,7624.100098,7648.100098,7648.100098,576251800
3/1/2018,7648.100098,7689.899902,7640.5,7671.100098,7671.100098,571662800
4/1/2018,7671.100098,7702.5,7671.100098,7695.899902,7695.899902,705864000
5/1/2018,7695.899902,7727.700195,7689.799805,7724.200195,7724.200195,636035700
8/1/2018,7724.200195,7733.399902,7691.799805,7696.5,7696.5,635135400
9/1/2018,7696.5,7733.100098,7696.5,7731,7731,709674500
10/1/2018,7731,7756.100098,7716.200195,7748.5,7748.5,861758600
11/1/2018,7748.5,7769,7734.600098,7762.899902,7762.899902,982791800
12/1/2018,7762.899902,7792.600098,7752.600098,7778.600098,7778.600098,1133867000
15/1/2018,7778.600098,7783.600098,7763.399902,7769.100098,7769.100098,551904700
16/1/2018,7769.100098,7791.799805,7740.600098,7755.899902,7755.899902,824367900
17/1/2018,7755.899902,7755.899902,7711.100098,7725.399902,7725.399902,822508200
18/1/2018,7725.399902,7739.5,7683.700195,7701,7701,765527900
19/1/2018,7701,7731.799805,7694.700195,7730.799805,7730.799805,795594100
22/1/2018,7730.799805,7739.399902,7703.700195,7715.399902,7715.399902,730171300
23/1/2018,7715.399902,7745.200195,7710,7731.799805,7731.799805,742420200
24/1/2018,7731.799805,7732,7643.399902,7643.399902,7643.399902,746643300
25/1/2018,7643.399902,7662.399902,7608.5,7615.799805,7615.799805,713251600
26/1/2018,7615.799805,7667.399902,7615.799805,7665.5,7665.5,713831300
29/1/2018,7665.5,7689.200195,7663.899902,7671.5,7671.5,612924000
30/1/2018,7671.5,7671.700195,7587.100098,7588,7588,798999000
31/1/2018,7588,7599,7521.799805,7533.600098,7533.600098,880751700
1/2/2018,7533.600098,7554.700195,7476.5,7490.399902,7490.399902,872509100
2/2/2018,7490.399902,7494.799805,7432.299805,7443.399902,7443.399902,871574000
5/2/2018,7443.399902,7443.399902,7334.799805,7335,7335,888994600
6/2/2018,7335,7335,7079.399902,7141.399902,7141.399902,1354591000
7/2/2018,7141.399902,7311.5,7141.399902,7279.399902,7279.399902,1027400300
8/2/2018,7279.399902,7279.399902,7161.299805,7170.700195,7170.700195,973611300
9/2/2018,7170.700195,7170.700195,7073,7092.399902,7092.399902,927291900
12/2/2018,7092.399902,7199.899902,7092.399902,7177.100098,7177.100098,718740600
13/2/2018,7177.100098,7203,7165.799805,7168,7168,718988800
14/2/2018,7168,7243.200195,7145.700195,7214,7214,940537000
15/2/2018,7214,7268,7206.700195,7234.799805,7234.799805,747830200
16/2/2018,7234.799805,7308,7234.799805,7294.700195,7294.700195,651756200
19/2/2018,7294.700195,7306.200195,7240,7247.700195,7247.700195,511199000
20/2/2018,7247.700195,7264.799805,7202.100098,7246.799805,7246.799805,679057900
21/2/2018,7246.799805,7291.799805,7220.600098,7281.600098,7281.600098,902872700
22/2/2018,7281.600098,7281.600098,7187.799805,7252.399902,7252.399902,926221400
23/2/2018,7252.399902,7262.100098,7220.799805,7244.399902,7244.399902,674864300
26/2/2018,7244.399902,7313,7244.299805,7289.600098,7289.600098,585774600
27/2/2018,7289.600098,7326,7272.899902,7282.5,7282.5,718147000
28/2/2018,7282.5,7293.399902,7231.899902,7231.899902,7231.899902,919954800
1/3/2018,7231.899902,7231.899902,7153.399902,7175.600098,7175.600098,859756500
2/3/2018,7175.600098,7175.600098,7063.399902,7069.899902,7069.899902,910442200
5/3/2018,7069.899902,7119.200195,7062.100098,7116,7116,941867700
6/3/2018,7116,7197.799805,7115.600098,7146.799805,7146.799805,786141900
7/3/2018,7146.799805,7180.700195,7109.600098,7157.799805,7157.799805,862383600
8/3/2018,7157.799805,7212.100098,7145.700195,7203.200195,7203.200195,712676800
9/3/2018,7203.200195,7225.299805,7189.700195,7224.5,7224.5,651119000
12/3/2018,7224.5,7254.899902,7198.200195,7214.799805,7214.799805,613077900
13/3/2018,7214.799805,7224.100098,7125.600098,7138.799805,7138.799805,766738500
14/3/2018,7138.799805,7176.5,7122.799805,7132.700195,7132.700195,752181500
15/3/2018,7132.700195,7162.600098,7127.100098,7139.799805,7139.799805,808062300
16/3/2018,7139.799805,7187.299805,7131.299805,7164.100098,7164.100098,1380663300
19/3/2018,7164.100098,7164.200195,7034.899902,7042.899902,7042.899902,728214400
20/3/2018,7042.899902,7081.5,7042.600098,7061.299805,7061.299805,742142200
21/3/2018,7061.299805,7065.700195,7016.799805,7039,7039,762202300
22/3/2018,7039,7039,6914.5,6952.600098,6952.600098,861231600
23/3/2018,6952.600098,6952.799805,6877,6921.899902,6921.899902,879273700
26/3/2018,6921.899902,6958.5,6866.899902,6888.700195,6888.700195,765318100
27/3/2018,6888.700195,7042.399902,6888.700195,7000.100098,7000.100098,690975500
28/3/2018,7000.100098,7044.700195,6923.299805,7044.700195,7044.700195,763193100
29/3/2018,7044.700195,7109.899902,7042.700195,7056.600098,7056.600098,876227900
3/4/2018,7056.600098,7065,6996.799805,7030.5,7030.5,790532700
4/4/2018,7030.5,7046.299805,6971.799805,7034,7034,794337900
5/4/2018,7034,7199.5,7034,7199.5,7199.5,794899100
6/4/2018,7199.5,7214,7163.100098,7183.600098,7183.600098,656250500
9/4/2018,7183.600098,7209.700195,7145.600098,7194.799805,7194.799805,671088200
10/4/2018,7194.799805,7266.799805,7194.799805,7266.799805,7266.799805,755081700
11/4/2018,7266.799805,7270.299805,7243.299805,7257.100098,7257.100098,766200800
12/4/2018,7257.100098,7266.600098,7240.799805,7258.299805,7258.299805,666773400
13/4/2018,7258.299805,7275,7249.100098,7264.600098,7264.600098,662868400
16/4/2018,7264.600098,7265.799805,7195.5,7198.200195,7198.200195,862881700
17/4/2018,7198.200195,7240.399902,7189.899902,7226.100098,7226.100098,714046100
18/4/2018,7226.100098,7325.600098,7226.100098,7317.299805,7317.299805,877056200
19/4/2018,7317.299805,7340.700195,7309.399902,7328.899902,7328.899902,788416300
20/4/2018,7328.899902,7368.200195,7323.299805,7368.200195,7368.200195,769512800
