,AAF,AAL,ABDN,ABF,ADM,AHT,ANTO,AUTO,AV,AZN,BA,BARC,BATS,BDEV,BEZ,BKG,BLND,BME,BNZL,BP,BRBY,BT-A,CCH,CNA,CPG,CRDA,CRH,CTEC,DCC,DGE,EDV,ENT,EXPN,FCIT,FLTR,FRAS,FRES,GLEN,GSK,HL,HLMA,HLN,HSBA,HSX,IAG,IHG,III,IMB,INF,ITRK,JD,JMAT,KGF,LAND,LGEN,LLOY,LSEG,MNDI,MNG,MRO,NG,NWG,NXT,OCDO,PHNX,PRU,PSH,PSN,PSON,REL,RIO,RKT,RMV,RR,RS1,RTO,SBRY,SDR,SGE,SGRO,SHEL,SKG,SMDS,SMIN,SMT,SN,SPX,SSE,STAN,STJ,SVT,TSCO,TW,ULVR,UTG,UU,VOD,WEIR,WPP
2021-01-04,74.4000015258789,2560.146484375,286.8999938964844,2226.0,2999.0,3500.0,1502.0,605.2000122070312,429.7367858886719,7422.0,493.8999938964844,143.52000427246094,2753.5,650.0,364.0,4695.0,475.7999877929688,523.4000244140625,2530.0,254.5,1819.5,135.8000030517578,2383.0,46.47999954223633,1371.5,6634.0,3170.0,205.3999938964844,5342.0,2948.0,3255.740966796875,1420.0,2909.0,793.0,15500.0,444.7999877929688,1249.0,245.3999938964844,1386.1241455078125,1499.0,2530.0,308.3500061035156,380.3500061035156,993.4000244140624,149.85000610351562,4669.0,1171.5,1550.5,541.0,5870.0,162.8800048828125,2509.0,275.70001220703125,664.7999877929688,260.70001220703125,34.834999084472656,9262.0,1751.5,197.6999969482422,197.27769470214844,882.5999755859375,171.0153045654297,6912.0,2360.0,706.2000122070312,1342.487548828125,2605.0,2720.0,681.7999877929688,1838.0,5753.0,6784.0,651.4000244140625,103.1999969482422,906.0,528.7999877929688,226.0,580.5499877929688,588.4000244140625,977.0,1302.199951171875,3582.0,385.1000061035156,1545.0,1220.0,1567.0,11685.0,1536.5,463.3999938964844,1143.0,2336.0,300.1997985839844,157.8000030517578,4461.0,1008.0,912.0,123.63999938964844,2063.0,797.0
2021-01-05,77.5999984741211,2575.077392578125,287.20001220703125,2202.0,3029.0,3537.0,1506.0,600.5999755859375,431.8421020507813,7439.0,500.7999877929688,143.1999969482422,2788.5,658.0,365.2000122070313,4718.0,468.7000122070313,533.5999755859375,2522.0,272.5,1795.0,135.39999389648438,2392.0,47.790000915527344,1394.0,6634.0,3135.0,207.0,5386.0,2945.5,3255.740966796875,1403.0,2850.0,805.0,15500.0,455.0,1240.0,254.1000061035156,1385.519775390625,1501.0,2521.0,308.3500061035156,378.6000061035156,990.5999755859376,149.4499969482422,4732.0,1165.0,1564.5,537.0,5802.0,165.72000122070312,2558.0,284.3999938964844,666.7999877929688,258.29998779296875,35.209999084472656,9036.0,1740.0,195.75,196.77769470214844,868.7999877929688,168.05380249023438,7468.0,2396.0,707.0,1338.12255859375,2575.0,2725.0,671.7999877929688,1817.0,5768.0,6708.0,640.2000122070312,107.75,906.0,525.2000122070312,225.6000061035156,580.2100219726562,582.4000244140625,976.5999755859376,1391.5999755859375,3462.0,383.7000122070313,1542.0,1221.0,1572.5,11485.0,1517.5,466.1000061035156,1155.0,2316.0,301.71978759765625,161.25,4436.0,1016.0,900.0,124.41999816894533,2040.0,777.0
2021-01-06,80.30000305175781,2743.796142578125,303.70001220703125,2262.0,3019.0,3651.0,1584.0,609.7999877929688,457.368408203125,7512.0,505.0,155.0399932861328,2813.0,673.4000244140625,375.2000122070313,4774.0,488.7999877929688,530.0,2501.0,289.79998779296875,1834.5,141.0500030517578,2417.0,50.77999877929688,1406.5,6622.0,3382.0,208.1999969482422,5600.0,2946.5,3255.740966796875,1460.0,2879.0,809.0,16030.0,460.3999938964844,1247.0,273.95001220703125,1418.7625732421875,1542.0,2570.0,308.3500061035156,416.1499938964844,1004.0,158.10000610351562,4814.0,1202.0,1595.5,571.5999755859375,5874.0,170.9600067138672,2697.0,285.1000061035156,693.0999755859375,273.79998779296875,37.15999984741211,9134.0,1824.5,203.3999938964844,202.1110992431641,882.4000244140625,180.1692047119141,7682.0,2396.0,725.0,1406.02294921875,2615.0,2792.0,698.2000122070312,1901.0,6115.0,6736.0,644.7999877929688,111.0500030517578,928.0,538.5999755859375,232.5,599.4199829101562,580.0,976.7999877929688,1473.5999755859375,3614.0,397.5,1584.5,1240.0,1624.5,11640.0,1594.0,509.7999877929688,1190.0,2379.0,310.58648681640625,164.60000610351562,4467.0,1004.0,932.4000244140624,129.5399932861328,2107.0,839.0
2021-01-07,79.69999694824219,2806.008056640625,306.20001220703125,2230.0,2977.0,3664.0,1588.5,583.4000244140625,460.3947143554688,7475.0,499.2999877929688,156.1199951171875,2800.0,689.0,373.7999877929688,4730.0,466.8999938964844,531.4000244140625,2531.0,295.0,1859.5,146.85000610351562,2400.0,49.709999084472656,1413.5,6582.0,3504.0,207.8000030517578,5542.0,2989.0,3255.740966796875,1467.0,2823.0,813.0,15875.0,463.6000061035156,1247.5,278.54998779296875,1408.2861328125,1570.0,2560.0,308.3500061035156,417.0499877929688,995.0,157.35000610351562,4762.0,1195.5,1638.0,570.2000122070312,5810.0,168.0399932861328,2663.0,284.5,687.9000244140625,275.0,36.88999938964844,9018.0,1886.5,199.6000061035156,202.1665954589844,879.7999877929688,180.3307037353516,7694.0,2379.0,724.5999755859375,1396.807861328125,2650.0,2804.0,682.5999755859375,1867.0,6310.0,6668.0,627.0,111.0999984741211,931.0,531.0,248.5,605.3699951171875,575.7999877929688,962.2000122070312,1474.4000244140625,3668.0,409.2999877929688,1575.5,1249.0,1601.5,11700.0,1600.0,512.2000122070312,1185.0,2358.0,311.59979248046875,164.9499969482422,4447.0,1014.0,925.0,131.16000366210938,2103.0,823.0
2021-01-08,78.19999694824219,2809.98974609375,304.79998779296875,2219.0,2964.0,3673.0,1567.0,595.0,458.6842041015625,7471.0,500.6000061035156,152.9199981689453,2800.0,720.0,366.6000061035156,4737.0,465.1000061035156,544.5999755859375,2505.0,298.70001220703125,1834.5,143.0,2431.0,50.15999984741211,1473.5,6612.0,3437.0,207.6000061035156,5526.0,3038.0,3059.89794921875,1475.0,2878.0,813.0,15805.0,459.6000061035156,1204.5,276.45001220703125,1418.7625732421875,1655.0,2612.0,308.3500061035156,411.75,987.5999755859376,156.75,4816.0,1170.0,1638.0,566.2000122070312,5836.0,170.16000366210938,2685.0,286.0,683.0999755859375,277.0,36.82500076293945,9206.0,1876.5,198.5500030517578,206.72219848632807,880.0,177.79989624023438,7684.0,2481.0,728.0,1387.1077880859375,2680.0,2871.0,681.2000122070312,1887.0,6310.0,6660.0,634.7999877929688,107.3000030517578,934.0,545.5999755859375,242.8000030517578,604.3499755859375,585.0,963.2000122070312,1468.199951171875,3666.0,403.7000122070313,1583.5,1278.0,1619.5,11720.0,1612.0,508.3999938964844,1187.0,2369.0,311.21978759765625,169.4499969482422,4450.0,1009.0,935.5999755859376,128.44000244140625,2099.0,828.7999877929688
2021-01-11,77.5999984741211,2745.787109375,298.20001220703125,2220.0,2975.0,3650.0,1550.5,591.2000122070312,454.868408203125,7556.0,496.3999938964844,151.1999969482422,2779.5,701.0,362.2000122070313,4637.0,452.0,549.7999877929688,2483.0,298.79998779296875,1806.5,142.6999969482422,2350.0,50.119998931884766,1410.0,6622.0,3379.0,204.6000061035156,5508.0,2956.5,3032.993896484375,1438.0,2833.0,814.0,15565.0,450.7999877929688,1179.0,270.54998779296875,1405.2640380859375,1628.0,2595.0,308.3500061035156,408.2000122070313,966.5999755859376,152.85000610351562,4739.0,1157.0,1611.0,545.4000244140625,5722.0,176.63999938964844,2646.0,279.5,658.0999755859375,275.3999938964844,36.165000915527344,9204.0,1851.5,196.5500030517578,203.8887939453125,877.5999755859375,174.3538055419922,7604.0,2500.0,719.0,1377.8927001953125,2735.0,2808.0,677.0,1868.0,6194.0,6556.0,631.5999755859375,105.75,923.5,538.4000244140625,236.5,598.22998046875,580.2000122070312,955.0,1462.4000244140625,3622.0,404.8999938964844,1556.5,1243.0,1577.0,11640.0,1594.5,506.7999877929688,1177.5,2340.0,309.5732116699219,167.10000610351562,4416.0,991.5,931.2000122070312,128.3000030517578,2073.0,813.5999755859375
2021-01-12,76.4000015258789,2721.39990234375,301.3999938964844,2221.0,2961.0,3650.0,1542.0,583.0,455.6578063964844,7405.0,494.1000061035156,154.24000549316406,2729.0,690.0,362.0,4531.0,452.5,544.4000244140625,2467.0,305.0,1761.5,144.0,2344.0,50.59999847412109,1405.0,6422.0,3330.0,203.6000061035156,5570.0,2924.0,3032.993896484375,1421.0,2729.0,797.0,15555.0,445.7999877929688,1130.0,276.3999938964844,1377.0579833984375,1626.5,2539.0,308.3500061035156,412.7999877929688,968.2000122070312,157.89999389648438,4876.0,1150.0,1589.0,547.5999755859375,5578.0,171.60000610351562,2732.0,284.6000061035156,647.5999755859375,275.29998779296875,36.744998931884766,8976.0,1853.0,197.9499969482422,207.5,856.0,175.75379943847656,7670.0,2489.0,710.7999877929688,1385.1678466796875,2710.0,2785.0,671.4000244140625,1825.5,6128.0,6358.0,623.2000122070312,107.75,913.0,529.0,235.1999969482422,591.77001953125,567.5999755859375,939.0,1490.800048828125,3646.0,402.1000061035156,1518.0,1212.0,1533.0,11295.0,1569.5,511.3999938964844,1183.5,2318.0,305.2665100097656,162.85000610351562,4321.0,1001.0,921.2000122070312,125.6999969482422,2048.0,812.5999755859375
2021-01-13,75.5,2712.93896484375,303.29998779296875,2221.0,2948.0,3675.0,1530.0,587.0,463.02630615234375,7529.0,493.7999877929688,152.36000061035156,2754.5,675.2000122070312,350.6000061035156,4467.0,453.0,550.2000122070312,2491.0,303.8999938964844,1727.5,142.8000030517578,2326.0,49.56999969482422,1400.0,6454.0,3280.0,203.1999969482422,5700.0,2931.0,3032.993896484375,1391.5,2734.0,795.0,15285.0,440.6000061035156,1124.5,277.25,1382.69921875,1610.5,2546.0,308.3500061035156,403.1499938964844,965.5999755859376,152.5,4849.0,1158.5,1607.0,536.7999877929688,5652.0,171.1999969482422,2701.0,282.8999938964844,652.5,275.0,36.244998931884766,9142.0,1855.0,200.0,205.3887939453125,874.4000244140625,172.41529846191406,7880.0,2577.0,709.4000244140625,1372.07275390625,2685.0,2612.0,674.7999877929688,1815.0,5994.0,6308.0,626.7999877929688,105.5999984741211,921.0,533.0,240.3000030517578,590.5800170898438,565.5999755859375,950.7999877929688,1477.5999755859375,3660.0,405.5,1519.5,1221.0,1573.0,11410.0,1576.5,499.0,1189.0,2350.0,306.6597900390625,161.0,4352.0,1002.0,937.7999877929688,127.5199966430664,2032.0,798.2000122070312
2021-01-14,80.5,2800.035888671875,307.8999938964844,2255.0,2951.0,3671.0,1572.0,577.7999877929688,461.1842041015625,7559.0,501.6000061035156,152.86000061035156,2780.5,695.7999877929688,349.79998779296875,4478.0,455.1000061035156,518.5999755859375,2457.0,309.25,1732.0,141.25,2334.0,51.20000076293945,1428.0,6442.0,3274.0,201.6000061035156,5718.0,2925.5,2891.0,1405.5,2711.0,796.0,14960.0,434.6000061035156,1120.0,285.0,1403.6522216796875,1590.0,2563.0,308.3500061035156,408.2000122070313,966.5999755859376,162.1999969482422,4890.0,1161.5,1641.0,543.4000244140625,5600.0,170.27999877929688,2787.0,279.6000061035156,665.4000244140625,280.0,36.45500183105469,9324.0,1863.0,199.3999938964844,206.1110992431641,872.4000244140625,173.4384002685547,7960.0,2584.0,706.4000244140625,1389.0478515625,2695.0,2670.0,679.5999755859375,1828.5,6132.0,6326.0,614.0,106.6500015258789,929.0,527.2000122070312,242.3999938964844,592.280029296875,565.0,966.2000122070312,1503.800048828125,3702.0,405.5,1527.0,1237.0,1587.5,11530.0,1529.0,498.2000122070313,1197.0,2340.0,305.773193359375,165.0,4354.0,992.5,934.4000244140624,128.94000244140625,2011.0,815.2000122070312
2021-01-15,78.69999694824219,2651.224853515625,304.29998779296875,2249.0,2923.0,3652.0,1514.5,566.0,458.5526123046875,7592.0,495.6000061035156,148.8000030517578,2770.0,695.5999755859375,349.3999938964844,4467.0,449.7999877929688,504.2000122070313,2438.0,302.45001220703125,1716.0,140.85000610351562,2305.0,50.619998931884766,1401.0,6366.0,3264.0,199.1999969482422,5714.0,2903.0,2891.0,1401.5,2682.0,783.0,15025.0,436.7999877929688,1087.5,279.8999938964844,1424.0008544921875,1569.0,2557.0,308.3500061035156,403.25,998.0,162.25,4848.0,1142.0,1634.5,537.0,5574.0,165.9600067138672,2748.0,269.3999938964844,657.7000122070312,273.0,35.935001373291016,9134.0,1809.5,196.3000030517578,202.1665954589844,875.4000244140625,170.74609375,8018.0,2513.0,693.2000122070312,1387.5927734375,2675.0,2690.0,678.0,1825.5,5946.0,6274.0,610.7999877929688,105.9000015258789,913.0,520.7999877929688,238.0,585.8200073242188,565.0,961.0,1483.0,3594.0,386.5,1495.0,1234.0,1577.0,11435.0,1519.5,489.7000122070313,1171.5,2343.0,306.0264892578125,163.60000610351562,4394.0,976.5,936.7999877929688,127.22000122070312,1988.0,814.2000122070312
